year,month,day,pna_index_cdas
2019,7,4,-1.4779812097549438
2019,7,5,-1.0520459413528442
2019,7,6,0.0888247862458229
2019,7,7,0.4813109040260315
2019,7,8,0.6528040170669556
2019,7,9,1.376558780670166
2019,7,10,1.6047981977462769
2019,7,11,0.8448566198348999
2019,7,12,0.3751988112926483
2019,7,13,0.6540985703468323
2019,7,14,1.101825475692749
2019,7,15,1.2773725986480713
2019,7,16,0.942057728767395
2019,7,17,0.6006972789764404
2019,7,18,0.5522468686103821
2019,7,19,0.076215460896492
2019,7,20,-0.7004392147064209
2019,7,21,-0.5435057878494263
2019,7,22,0.32232895493507385
2019,7,23,0.9993127584457397
2019,7,24,1.3615338802337646
2019,7,25,1.4647921323776245
2019,7,26,2.255557060241699
2019,7,27,2.2056996822357178
2019,7,28,1.4863442182540894
2019,7,29,0.49838361144065857
2019,7,30,-0.1907506287097931
2019,7,31,-0.4240933954715729
2019,8,1,-0.5600244998931885
2019,8,2,-0.46012258529663086
2019,8,3,-0.7665603756904602
2019,8,4,-0.8635203838348389
2019,8,5,-0.2887657582759857
2019,8,6,-0.016612369567155838
2019,8,7,-0.005665721837431192
2019,8,8,0.4068624973297119
2019,8,9,0.6923491954803467
2019,8,10,1.0116539001464844
2019,8,11,1.3291908502578735
2019,8,12,1.3996474742889404
2019,8,13,1.2953460216522217
2019,8,14,1.0407686233520508
2019,8,15,1.0867397785186768
2019,8,16,1.255297064781189
2019,8,17,1.6653566360473633
2019,8,18,1.6083396673202515
2019,8,19,0.8527557849884033
2019,8,20,0.6658161282539368
2019,8,21,0.6329277753829956
2019,8,22,0.510643482208252
2019,8,23,0.2533451020717621
2019,8,24,-0.22467230260372162
2019,8,25,-0.24151015281677246
2019,8,26,0.0018431415082886815
2019,8,27,0.03433295711874962
2019,8,28,-0.028667084872722626
2019,8,29,0.3384549021720886
2019,8,30,0.7986682653427124
2019,8,31,1.0661040544509888
2019,9,1,1.0137808322906494
2019,9,2,0.7809702157974243
2019,9,3,0.9880448579788208
2019,9,4,1.233939290046692
2019,9,5,0.8667272925376892
2019,9,6,1.0641833543777466
2019,9,7,1.1143865585327148
2019,9,8,1.2004729509353638
2019,9,9,1.2153003215789795
2019,9,10,1.4683513641357422
2019,9,11,1.2947756052017212
2019,9,12,1.051282525062561
2019,9,13,1.1665197610855103
2019,9,14,1.4435158967971802
2019,9,15,1.6188653707504272
2019,9,16,1.4916255474090576
2019,9,17,1.5595675706863403
2019,9,18,1.2401278018951416
2019,9,19,1.0262020826339722
2019,9,20,1.312322974205017
2019,9,21,1.6653790473937988
2019,9,22,1.5185370445251465
2019,9,23,0.8892679214477539
2019,9,24,0.5883970260620117
2019,9,25,0.4620059132575989
2019,9,26,0.13187628984451294
2019,9,27,0.46639686822891235
2019,9,28,1.305868148803711
2019,9,29,1.8279621601104736
2019,9,30,0.6326555013656616
2019,10,1,-1.801824927330017
2019,10,2,-1.4316718578338623
2019,10,3,-1.0385383367538452
2019,10,4,-0.753199577331543
2019,10,5,-1.0262451171875
2019,10,6,-1.2369475364685059
2019,10,7,-1.5804523229599
2019,10,8,-1.8703975677490234
2019,10,9,-1.968132734298706
2019,10,10,-1.6935093402862549
2019,10,11,-1.375097393989563
2019,10,12,-1.2095658779144287
2019,10,13,-0.8277983665466309
2019,10,14,-0.25332558155059814
2019,10,15,0.6609767079353333
2019,10,16,1.1360307931900024
2019,10,17,1.0786998271942139
2019,10,18,0.8745436668395996
2019,10,19,0.36947008967399597
2019,10,20,0.11474543064832687
2019,10,21,0.09785400331020355
2019,10,22,-0.0108208442106843
2019,10,23,0.03860810771584511
2019,10,24,-0.03827163204550743
2019,10,25,-0.4176318049430847
2019,10,26,-0.6202667355537415
2019,10,27,-0.7289812564849854
2019,10,28,-0.7707411646842957
2019,10,29,-0.8162395358085632
2019,10,30,-0.887337327003479
2019,10,31,-0.8547389507293701
2019,11,1,-0.8638973832130432
2019,11,2,-0.9266422390937805
2019,11,3,-1.050288438796997
2019,11,4,-1.1865630149841309
