,msl_row,msl_column,z_row,z_column
2006-07-20,0,2,0,4
2006-07-21,2,2,0,4
2006-07-22,3,3,3,2
2006-07-23,3,3,3,1
2006-07-24,2,2,3,2
2006-07-25,1,0,3,4
2006-07-26,3,0,3,4
2006-07-27,3,0,3,4
2006-07-28,3,0,3,4
2006-07-29,0,0,3,4
2006-07-30,0,0,1,4
2006-07-31,0,0,1,4
2007-06-01,0,3,1,0
2007-06-02,1,4,1,0
2007-06-03,3,4,2,0
2007-06-04,2,4,3,0
2007-06-05,2,4,3,0
2007-06-06,1,4,2,0
2007-06-07,0,4,1,0
2007-06-08,0,4,0,0
2007-06-09,0,4,0,0
2007-06-10,0,3,0,0
2007-06-11,0,4,0,0
2007-06-12,0,4,0,0
2007-06-13,0,3,0,0
2007-06-14,1,1,0,0
2007-06-15,0,0,0,2
2007-06-16,0,0,0,3
2007-06-17,0,0,0,4
2007-06-18,0,1,0,3
2007-06-19,0,3,0,2
2007-06-20,0,2,0,2
2007-06-21,0,0,0,3
2007-06-22,0,0,0,4
2007-06-23,0,1,0,4
2007-06-24,0,3,0,3
2007-06-25,0,4,0,3
2007-06-26,2,4,0,2
2007-06-27,2,4,2,3
2007-06-28,0,3,2,3
2007-06-29,0,3,0,2
2007-06-30,0,3,0,0
2007-07-01,0,4,0,0
2007-07-02,0,4,0,0
2007-07-03,0,4,0,0
2007-07-04,0,4,0,0
2007-07-05,1,2,0,0
2007-07-06,1,2,0,0
2007-07-07,0,2,0,0
2007-07-08,0,3,0,0
2007-07-09,0,3,0,0
2007-07-10,0,2,0,1
2007-07-11,0,2,0,1
2007-07-12,0,3,0,0
2007-07-13,2,3,1,0
2007-07-14,2,2,1,0
2007-07-15,2,2,1,0
2007-07-16,2,2,2,1
2007-07-17,2,2,3,1
2007-07-18,0,1,1,1
2007-07-19,0,2,0,2
2007-07-20,0,2,0,2
2007-07-21,0,2,0,2
2007-07-22,0,2,0,2
2007-07-23,0,2,0,2
2007-07-24,0,3,0,2
2007-07-25,0,4,0,1
2007-07-26,0,4,0,1
2007-07-27,0,2,0,2
2007-07-28,0,1,0,2
2007-07-29,0,0,0,2
2007-07-30,2,1,0,2
2007-07-31,3,2,3,1
2008-06-01,2,4,3,0
2008-06-02,0,3,2,2
2008-06-03,1,1,3,3
2008-06-04,0,0,3,4
2008-06-05,0,1,2,4
2008-06-06,0,0,0,3
2008-06-07,0,1,0,3
2008-06-08,0,1,0,4
2008-06-09,0,0,0,3
2008-06-10,1,1,1,3
2008-06-11,0,1,1,3
2008-06-12,0,1,0,3
2008-06-13,0,1,0,3
2008-06-14,2,0,0,4
2008-06-15,2,0,0,4
2008-06-16,2,0,0,4
2008-06-17,2,1,0,3
2008-06-18,1,0,0,3
2008-06-19,3,0,1,3
2008-06-20,2,2,2,2
2008-06-21,0,4,0,0
2008-06-22,1,3,1,0
2008-06-23,2,3,2,0
2008-06-24,2,4,3,0
2008-06-25,0,4,2,0
2008-06-26,0,3,0,0
2008-06-27,1,2,1,2
2008-06-28,3,1,3,2
2008-06-29,3,1,3,3
2008-06-30,3,2,3,1
2008-07-01,3,3,3,0
2008-07-02,3,4,3,0
2008-07-03,0,4,2,0
2008-07-04,0,4,0,0
2008-07-05,0,4,0,0
2008-07-06,0,2,0,0
2008-07-07,1,0,0,1
2008-07-08,2,0,2,3
2008-07-09,2,0,3,4
2008-07-10,3,0,3,4
2008-07-11,3,2,3,4
2008-07-12,2,2,3,4
2008-07-13,2,1,3,4
2008-07-14,3,1,3,4
2008-07-15,3,1,3,3
2008-07-16,3,0,3,4
2008-07-17,0,0,3,4
2008-07-18,0,0,0,4
2008-07-19,0,0,0,4
2008-07-20,0,0,0,4
2008-07-21,0,0,0,4
2008-07-22,1,0,1,4
2008-07-23,0,2,0,4
2008-07-24,0,2,0,4
2008-07-25,0,2,0,4
2008-07-26,0,2,0,4
2008-07-27,0,2,0,4
2008-07-28,0,0,0,4
2008-07-29,0,0,0,4
2008-07-30,0,0,0,4
